spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
"spatiotemporal_inconsistent","new",0,4,2,2,1,0,-50,50,1,"Chrome","testSubject","2022-12-15T17:30:45.269Z","2022-12-15T17:30:49.692Z",703
"spatiotemporal_inconsistent","same_swap",2,1,1,2,4,0,-50,50,1,"Chrome","testSubject","2022-12-15T17:30:50.133Z","2022-12-15T17:30:54.974Z",1121
"spatiotemporal_inconsistent","new",4,2,0,0,2,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:30:55.437Z","2022-12-15T17:30:59.860Z",703
"spatiotemporal_inconsistent","new",1,1,2,4,3,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:31:00.278Z","2022-12-15T17:31:05.298Z",1300
"spatiotemporal_inconsistent","same_swap",3,4,4,3,3,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:31:11.214Z","2022-12-15T17:31:15.731Z",797
"spatiotemporal_inconsistent","same",1,1,0,0,0,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:31:16.261Z","2022-12-15T17:31:21.000Z",1019
"spatiotemporal_inconsistent","same_swap",4,2,2,4,2,1,-50,50,1,"Chrome","testSubject","2022-12-15T17:31:22.917Z","2022-12-15T17:31:27.728Z",1091
"spatiotemporal_inconsistent","same_swap",3,1,1,3,2,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:31:28.661Z","2022-12-15T17:31:33.773Z",1392
"spatiotemporal_inconsistent","same_swap",1,2,2,1,3,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:31:36.237Z","2022-12-15T17:31:40.920Z",963
"spatiotemporal_inconsistent","same",2,2,4,4,1,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:31:41.350Z","2022-12-15T17:31:45.693Z",623
"spatiotemporal_inconsistent","same",2,2,3,3,0,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:31:46.518Z","2022-12-15T17:31:51.165Z",927
"spatiotemporal_inconsistent","new",4,3,1,1,0,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:31:51.541Z","2022-12-15T17:31:56.055Z",794
"spatiotemporal_inconsistent","same",0,0,4,4,1,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:31:56.701Z","2022-12-15T17:32:01.130Z",709
"spatiotemporal_inconsistent","new",1,3,2,2,3,2,-50,50,1,"Chrome","testSubject","2022-12-15T17:32:01.541Z","2022-12-15T17:32:06.173Z",912
"spatiotemporal_inconsistent","same",1,1,2,2,3,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:32:06.701Z","2022-12-15T17:32:11.450Z",1029
"spatiotemporal_inconsistent","same",1,1,2,2,1,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:32:14.132Z","2022-12-15T17:32:18.421Z",569
"spatiotemporal_inconsistent","same",1,1,2,2,4,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:32:19.133Z","2022-12-15T17:32:26.037Z",3184
"spatiotemporal_inconsistent","new",0,1,2,2,2,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:32:26.862Z","2022-12-15T17:32:31.335Z",753
"spatiotemporal_inconsistent","new",2,2,4,1,4,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:32:31.837Z","2022-12-15T17:32:37.885Z",2328
"spatiotemporal_inconsistent","same_swap",3,4,4,3,2,0,-50,50,1,"Chrome","testSubject","2022-12-15T17:32:38.405Z","2022-12-15T17:32:45.743Z",3618
"spatiotemporal_inconsistent","new",4,0,1,1,2,4,50,-50,1,"Chrome","testSubject","2022-12-15T17:32:46.333Z","2022-12-15T17:32:50.968Z",915
"spatiotemporal_inconsistent","new",3,4,0,0,2,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:32:51.381Z","2022-12-15T17:32:58.911Z",3810
"spatiotemporal_inconsistent","same_swap",0,1,1,0,1,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:32:59.191Z","2022-12-15T17:33:15.975Z",13064
"spatiotemporal_inconsistent","new",4,4,2,3,3,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:33:16.206Z","2022-12-15T17:33:21.727Z",1801
"spatiotemporal_inconsistent","new",0,1,4,4,1,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:33:23.133Z","2022-12-15T17:33:27.732Z",879
"spatiotemporal_inconsistent","new",0,0,1,4,2,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:33:28.085Z","2022-12-15T17:33:40.603Z",8798
"spatiotemporal_inconsistent","same_swap",4,0,0,4,4,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:33:41.165Z","2022-12-15T17:33:46.255Z",1370
"spatiotemporal_inconsistent","same_swap",2,1,1,2,0,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:33:46.565Z","2022-12-15T17:33:51.088Z",803
"spatiotemporal_inconsistent","new",1,1,0,2,2,0,-50,50,1,"Chrome","testSubject","2022-12-15T17:33:51.413Z","2022-12-15T17:33:56.321Z",1188
"spatiotemporal_inconsistent","same_swap",2,3,3,2,2,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:33:56.661Z","2022-12-15T17:34:01.294Z",913
